               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.067494,            0.037867,            0.063243,             0.54395,              0.2427,             0.13308,            0.074329,             0.03363,            0.010454,            0.047119,            0.070068,           0.0033258,           0.0033258
                   1,            0.044955,            0.021587,            0.056709,             0.63234,             0.28046,               0.189,             0.12912,            0.026271,           0.0088396,            0.042848,            0.039966,           0.0065577,           0.0065577
                   2,            0.041462,            0.017872,            0.050744,             0.70253,             0.38224,             0.41025,             0.18032,            0.031071,            0.007482,            0.032794,           0.0097633,           0.0096881,           0.0096881
                   3,            0.037601,            0.016118,            0.039599,             0.81522,             0.37477,             0.43063,             0.24167,             0.02857,           0.0080034,            0.025374,           0.0095431,           0.0095431,           0.0095431
                   4,            0.033955,            0.015608,            0.033956,             0.71919,              0.4939,             0.58767,             0.39482,            0.023875,           0.0073606,            0.021667,           0.0095431,           0.0095431,           0.0095431
                   5,            0.030631,            0.015132,            0.028351,             0.63029,             0.64841,             0.64572,             0.46858,            0.022218,           0.0075839,            0.020011,           0.0093908,           0.0093908,           0.0093908
                   6,            0.029188,            0.014643,             0.02471,             0.63335,              0.7844,             0.72581,             0.51862,            0.022306,           0.0074623,            0.012182,           0.0092385,           0.0092385,           0.0092385
                   7,            0.026916,             0.01392,            0.022041,             0.66652,             0.79418,              0.7932,              0.6115,            0.020844,           0.0071446,           0.0099635,           0.0090862,           0.0090862,           0.0090862
                   8,            0.026018,            0.013894,            0.020507,             0.87618,             0.72298,             0.82701,             0.66236,             0.01911,           0.0064424,            0.012597,           0.0089338,           0.0089338,           0.0089338
                   9,            0.026241,            0.013824,            0.018263,              0.8361,             0.83784,               0.883,             0.69766,             0.02028,           0.0074196,            0.006013,           0.0087815,           0.0087815,           0.0087815
                  10,            0.024732,            0.013998,            0.017104,             0.83238,             0.82034,             0.86184,             0.69611,            0.018295,            0.006497,           0.0061806,           0.0086292,           0.0086292,           0.0086292
                  11,            0.024691,             0.01325,            0.015609,             0.83353,             0.80527,             0.85902,             0.67853,            0.017627,           0.0068069,           0.0062501,           0.0084769,           0.0084769,           0.0084769
                  12,             0.02447,             0.01333,            0.013887,             0.86181,             0.82166,             0.88415,             0.75086,            0.017633,           0.0062762,           0.0044966,           0.0083246,           0.0083246,           0.0083246
                  13,            0.023061,            0.013021,            0.014863,             0.93745,             0.80018,              0.8839,             0.72888,            0.015477,           0.0068154,           0.0058346,           0.0081723,           0.0081723,           0.0081723
                  14,            0.022679,            0.012759,            0.015029,             0.82186,             0.87144,             0.88715,             0.76275,            0.017526,           0.0069863,           0.0050802,             0.00802,             0.00802,             0.00802
                  15,            0.022556,            0.012743,            0.013446,             0.86752,             0.86335,             0.90529,              0.7571,            0.015953,           0.0062273,           0.0034845,           0.0078677,           0.0078677,           0.0078677
                  16,            0.021842,            0.012161,            0.012827,              0.8549,             0.83955,             0.88856,             0.75229,            0.015541,           0.0059771,           0.0037049,           0.0077154,           0.0077154,           0.0077154
                  17,            0.022018,            0.012329,            0.011973,              0.8472,             0.87354,              0.8929,             0.76451,            0.015899,           0.0062712,           0.0030914,           0.0075631,           0.0075631,           0.0075631
                  18,            0.021182,            0.012018,             0.01093,             0.89024,             0.87182,             0.90319,             0.78564,             0.01499,             0.00622,           0.0040255,           0.0074108,           0.0074108,           0.0074108
                  19,             0.02099,            0.011936,             0.01008,             0.87957,             0.85925,             0.90069,             0.77048,            0.016241,           0.0065007,           0.0042046,           0.0072585,           0.0072585,           0.0072585
                  20,            0.020746,            0.011489,            0.010132,             0.84788,             0.88982,             0.90025,             0.78557,            0.016175,           0.0056256,           0.0046442,           0.0071062,           0.0071062,           0.0071062
                  21,             0.02079,            0.011529,           0.0096636,             0.88441,             0.90324,             0.91681,             0.79917,             0.01444,           0.0056121,           0.0029323,           0.0069538,           0.0069538,           0.0069538
